LOCATION,TIME,Value
AUS,1978-Q2,64.51743
AUS,1978-Q3,64.36272
AUS,1978-Q4,64.21304
AUS,1979-Q1,64.18033
AUS,1979-Q2,64.17467
AUS,1979-Q3,64.24846
AUS,1979-Q4,64.64888
AUS,1980-Q1,64.90046
AUS,1980-Q2,65.1198
AUS,1980-Q3,65.32882
AUS,1980-Q4,65.2066
AUS,1981-Q1,65.29118
AUS,1981-Q2,65.46525
AUS,1981-Q3,65.41008
AUS,1981-Q4,65.05112
AUS,1982-Q1,65.01968
AUS,1982-Q2,64.55569
AUS,1982-Q3,63.94346
AUS,1982-Q4,63.04081
AUS,1983-Q1,62.13141
AUS,1983-Q2,61.62423
AUS,1983-Q3,61.73423
AUS,1983-Q4,62.06753
AUS,1984-Q1,62.36116
AUS,1984-Q2,62.81827
AUS,1984-Q3,62.94272
AUS,1984-Q4,62.95208
AUS,1985-Q1,63.16693
AUS,1985-Q2,63.32549
AUS,1985-Q3,63.89678
AUS,1985-Q4,64.38287
AUS,1986-Q1,64.76785
AUS,1986-Q2,65.33916
AUS,1986-Q3,65.10748
AUS,1986-Q4,65.11
AUS,1987-Q1,65.03994
AUS,1987-Q2,65.20239
AUS,1987-Q3,65.39418
AUS,1987-Q4,65.34438
AUS,1988-Q1,66.03426
AUS,1988-Q2,66.23841
AUS,1988-Q3,66.51678
AUS,1988-Q4,66.87225
AUS,1989-Q1,67.51358
AUS,1989-Q2,68.06889
AUS,1989-Q3,68.46991
AUS,1989-Q4,68.68247
AUS,1990-Q1,68.68749
AUS,1990-Q2,68.69854
AUS,1990-Q3,68.37523
AUS,1990-Q4,67.66335
AUS,1991-Q1,66.73814
AUS,1991-Q2,66.13335
AUS,1991-Q3,65.51746
AUS,1991-Q4,65.17075
AUS,1992-Q1,65.15183
AUS,1992-Q2,64.91177
AUS,1992-Q3,64.9931
AUS,1992-Q4,64.54497
AUS,1993-Q1,64.58073
AUS,1993-Q2,64.4087
AUS,1993-Q3,64.50813
AUS,1993-Q4,65.04655
AUS,1994-Q1,65.3183
AUS,1994-Q2,65.64531
AUS,1994-Q3,66.37617
AUS,1994-Q4,66.61079
AUS,1995-Q1,67.09085
AUS,1995-Q2,67.6199
AUS,1995-Q3,67.81093
AUS,1995-Q4,67.92947
AUS,1996-Q1,67.89281
AUS,1996-Q2,67.76694
AUS,1996-Q3,67.56136
AUS,1996-Q4,67.44813
AUS,1997-Q1,67.43944
AUS,1997-Q2,67.24601
AUS,1997-Q3,67.18062
AUS,1997-Q4,67.48602
AUS,1998-Q1,67.52511
AUS,1998-Q2,67.72703
AUS,1998-Q3,67.87538
AUS,1998-Q4,68.03883
AUS,1999-Q1,67.99296
AUS,1999-Q2,68.06274
AUS,1999-Q3,68.26158
AUS,1999-Q4,68.55605
AUS,2000-Q1,68.51765
AUS,2000-Q2,69.11333
AUS,2000-Q3,69.65781
AUS,2000-Q4,69.05225
AUS,2001-Q1,68.90581
AUS,2001-Q2,69.13624
AUS,2001-Q3,69.03419
AUS,2001-Q4,68.97279
AUS,2002-Q1,69.04032
