Country,Sex,Date,Value
Australia,Females,1978-Q2,46.50444
Australia,Females,1978-Q3,46.63712
Australia,Females,1978-Q4,46.37238
Australia,Females,1979-Q1,46.27996
Australia,Females,1979-Q2,46.15418
Australia,Females,1979-Q3,46.18482
Australia,Females,1979-Q4,46.90416
Australia,Females,1980-Q1,47.53733
Australia,Females,1980-Q2,47.82263
Australia,Females,1980-Q3,48.24131
Australia,Females,1980-Q4,47.87271
Australia,Females,1981-Q1,47.88968
Australia,Females,1981-Q2,48.19662
Australia,Females,1981-Q3,48.34454
Australia,Females,1981-Q4,48.24771
Australia,Females,1982-Q1,48.13478
Australia,Females,1982-Q2,47.75636
Australia,Females,1982-Q3,47.4859
Australia,Females,1982-Q4,47.04893
Australia,Females,1983-Q1,46.70707
Australia,Females,1983-Q2,46.40534
Australia,Females,1983-Q3,46.72881
Australia,Females,1983-Q4,47.0414
Australia,Females,1984-Q1,47.27411
Australia,Females,1984-Q2,47.86975
Australia,Females,1984-Q3,48.22899
Australia,Females,1984-Q4,48.43159
Australia,Females,1985-Q1,48.92616
Australia,Females,1985-Q2,49.11726
Australia,Females,1985-Q3,49.82258
Australia,Females,1985-Q4,50.28955
Australia,Females,1986-Q1,50.98198
Australia,Females,1986-Q2,51.94174
Australia,Females,1986-Q3,51.95907
Australia,Females,1986-Q4,52.22843
Australia,Females,1987-Q1,52.24533
Australia,Females,1987-Q2,52.47342
Australia,Females,1987-Q3,52.72547
Australia,Females,1987-Q4,52.95143
Australia,Females,1988-Q1,53.53922
Australia,Females,1988-Q2,53.83149
Australia,Females,1988-Q3,54.34049
Australia,Females,1988-Q4,54.72649
Australia,Females,1989-Q1,55.56126
Australia,Females,1989-Q2,56.18661
Australia,Females,1989-Q3,56.71467
Australia,Females,1989-Q4,57.11615
Australia,Females,1990-Q1,57.36837
Australia,Females,1990-Q2,57.60228
Australia,Females,1990-Q3,57.42938
Australia,Females,1990-Q4,57.01374
Australia,Females,1991-Q1,56.39796
Australia,Females,1991-Q2,56.18945
Australia,Females,1991-Q3,55.82705
Australia,Females,1991-Q4,55.36761
Australia,Females,1992-Q1,55.62544
Australia,Females,1992-Q2,55.45668
Australia,Females,1992-Q3,55.75756
Australia,Females,1992-Q4,55.45113
Australia,Females,1993-Q1,55.43892
