Office,Origin,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Africa ,Resident,3281,3538,3191,4466,4136,4339,4981,5261,5235,5457,1557,1556,1299,1467,1483,1567,1609,503,948,860,1665,1533,1772,1591,1681,1802,1166,1754,1608,1496,1742,1540
Africa ,Non-Resident,7756,8256,8839,7942,8665,7952,6657,6298,6379,6240,6821,6112,5552,5694,6340,7473,7787,7892,9808,5103,4548,7396,7228,6746,7541,8717,8656,11269,10621,8835,8953,9921
African Intellectual Property Organization ,Resident,6,7,9,17,21,19,,30,38,,13,32,23,34,33,27,75,31,23,30,28,21,44,71,69,64,,,,,,
African Intellectual Property Organization ,Non-Resident,298,278,290,268,258,,,,,,,,,,140,417,,225,251,311,341,326,359,276,281,313,454,512,459,448,,
African Regional Intellectual Property Organization ,Resident,,,,,,,,,,,,,,,9,2,10,6,6,4,4,2,,,,,,,11,,,
African Regional Intellectual Property Organization ,Non-Resident,,,,,,,,,,,,,,,95,62,123,255,255,61,293,65,,,,,,,424,,,
Albania ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Albania ,Non-Resident,,,,,,,,,,,,,,,,,,9,,,,120,238,391,,386,,,,361,,8
Algeria ,Resident,5,14,14,30,30,,,,5,4,6,6,10,8,27,28,50,34,42,36,32,51,43,30,58,59,58,84,,,76,94
Algeria ,Non-Resident,349,340,320,278,345,,,,201,200,229,170,164,138,118,134,150,207,267,248,127,94,291,296,334,465,611,765,,,730,803
Angola ,Resident,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Angola ,Non-Resident,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Argentina ,Resident,1269,954,951,1102,1182,,,,,,955,943,503,787,694,676,1097,824,861,899,1062,691,718,792,786,1054,1020,937,801,,,
Argentina ,Non-Resident,3063,3321,2793,2443,2656,,,,,,1955,1851,1919,2261,2820,3588,4012,5035,5459,5558,5574,5088,4143,3765,3816,4215,4597,4806,4781,,,
Armenia ,Resident,,,,,,,,,,,,,,184,154,187,162,62,75,109,119,140,200,151,,206,192,135,226,116,136,121
Armenia ,Non-Resident,,,,,,,,,,,,,,30,79,98,154,121,8,16,8,15,7,6,6,2,1,5,4,11,6,19
Aruba ,Resident,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Aruba ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia ,Resident,169399,3756,4012,230487,260697,283789,299712,322536,317410,332217,350870,359519,368169,375328,366498,410427,426517,437074,430765,438774,491802,496866,491121,518324,552373,605742,620422,636336,666775,677837,744565,862472
Asia ,Non-Resident,37765,11633,12158,37319,43010,50258,49697,56280,53151,62592,63769,60745,62774,66345,69023,93000,115358,132725,156065,148759,144163,180123,175619,180406,210433,244841,267097,275030,278549,248243,269344,290958
Australia ,Resident,6582,6341,6603,6930,7170,,,,,,,,,,,1784,1797,1760,1862,1858,1928,2187,2364,2418,2559,2555,2837,2718,2821,2494,2409,2383
Australia ,Non-Resident,9354,9807,9572,9529,10212,,,,,,,,,,,12277,13221,15398,16063,17960,20073,20548,20181,19176,20274,21302,23166,24122,23525,21187,22478,23143
Austria ,Resident,2327,2390,2233,2345,2324,2269,2210,2249,2212,2105,2025,2076,2117,2190,1989,1728,1909,1910,1957,2028,1961,1815,1932,2120,2248,2270,2271,2385,2298,2263,2424,2154
Austria ,Non-Resident,4166,3428,2620,2322,1891,1591,1336,1272,1048,915,670,544,517,513,516,458,449,397,349,341,340,284,329,213,266,235,378,287,329,292,249,276
Azerbaijan ,Resident,,,,,,,,,,,,,,,,221,165,,,,,203,234,246,270,281,246,287,226,264,254,193
Azerbaijan ,Non-Resident,,,,,,,,,,,,,,,,30,17,,,,,10,7,18,7,6,13,8,7,17,17,12
