FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,1927-Q1,1927-Q2,1927-Q3,1927-Q4,1928-Q1,1928-Q2,1928-Q3,1928-Q4,1929-Q1,1929-Q2,1929-Q3,1929-Q4,1930-Q1,1930-Q2,1930-Q3,1930-Q4,1931-Q1,1931-Q2,1931-Q3,1931-Q4,1932-Q1,1932-Q2,1932-Q3,1932-Q4,1933-Q1,1933-Q2,1933-Q3,1933-Q4,1934-Q1,1934-Q2,1934-Q3,1934-Q4,1935-Q1,1935-Q2,1935-Q3,1935-Q4,1936-Q1,1936-Q2,1936-Q3,1936-Q4,1937-Q1,1937-Q2,1937-Q3,1937-Q4,1938-Q1,1938-Q2,1938-Q3,1938-Q4,1939-Q1,1939-Q2,1939-Q3,1939-Q4,1940-Q1,1940-Q2,1940-Q3,1940-Q4,1941-Q1,1941-Q2,1941-Q3,1941-Q4,1942-Q1,1942-Q2,1942-Q3,1942-Q4,1943-Q1,1943-Q2,1943-Q3,1943-Q4,1944-Q1,1944-Q2,1944-Q3,1944-Q4,1945-Q1,1945-Q2,1945-Q3,1945-Q4,1946-Q1,1946-Q2,1946-Q3,1946-Q4,1947-Q1,1947-Q2,1947-Q3,1947-Q4,1948-Q1,1948-Q2,1948-Q3,1948-Q4,1949-Q1,1949-Q2,1949-Q3,1949-Q4,1950-Q1,1950-Q2,1950-Q3,1950-Q4,1951-Q1,1951-Q2,1951-Q3,1951-Q4,1952-Q1,1952-Q2,1952-Q3,1952-Q4,1953-Q1,1953-Q2,1953-Q3,1953-Q4,1954-Q1,1954-Q2,1954-Q3,1954-Q4,1955-Q1,1955-Q2,1955-Q3,1955-Q4,1956-Q1,1956-Q2,1956-Q3,1956-Q4,1957-Q1,1957-Q2,1957-Q3,1957-Q4,1958-Q1,1958-Q2,1958-Q3,1958-Q4,1959-Q1,1959-Q2,1959-Q3,1959-Q4,1960-Q1,1960-Q2,1960-Q3,1960-Q4,1961-Q1,1961-Q2,1961-Q3,1961-Q4,1962-Q1,1962-Q2,1962-Q3,1962-Q4,1963-Q1,1963-Q2,1963-Q3,1963-Q4,1964-Q1,1964-Q2,1964-Q3,1964-Q4,1965-Q1,1965-Q2,1965-Q3,1965-Q4,1966-Q1,1966-Q2,1966-Q3,1966-Q4,1967-Q1,1967-Q2,1967-Q3,1967-Q4,1968-Q1,1968-Q2,1968-Q3,1968-Q4,1969-Q1,1969-Q2,1969-Q3,1969-Q4,1970-Q1,1970-Q2,1970-Q3,1970-Q4,1971-Q1,1971-Q2,1971-Q3,1971-Q4,1972-Q1,1972-Q2,1972-Q3,1972-Q4,1973-Q1,1973-Q2,1973-Q3,1973-Q4,1974-Q1,1974-Q2,1974-Q3,1974-Q4,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4
Q,Quarterly,PH,Philippines,R,Real,628,"Index, 2010 = 100",,,,Q:PH:R:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.833,109.6433,106.7644,107.0321,105.4092,104.437,102.3312,100.7028,99.6264,99.6697,100.3991,100.2939,99.2431,100.638,101.1119,102.3436,106.1227,106.3843,105.8356,107.3184,110.7215,114.0867,117.0171,119.5822,121.1723,123.3626,124.8826,127.9389,131.356,134.4341,137.4626,140.3737,144.8195,150.6483,147.0285,147.953,150.1675,146.7657,145.765,151.5943,147.2966,146.5649,143.09,143.68,146.3727,143.3986,155.8566,156.5284,160.6992,178.2187,151.7608,153.4142,147.9786,155.3172,155.0056,155.3913,151.4093,151.1119,154.9895,155.141,154.1009,162.6479,166.013,
Q,Quarterly,MT,Malta,R,Real,771,"Year-on-year changes, in per cent",,,,Q:MT:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1736,18.1711,12.9247,27.9136,28.6603,22.5918,18.876,9.99,12.5035,2.8361,7.068,4.0389,-6.5927,-4.0665,-7.013,-7.3312,-0.8555,0.2469,1.7438,-2.8557,-5.4823,-3.2863,-5.9354,-1.0647,-0.0994,-3.5255,3.0068,3.0596,-1.0453,-0.9313,-3.16,-1.7907,0.5758,3.0454,0.2974,5.0275,2.016,2.2674,7.2238,6.9882,4.7711,6.2956,3.9743,4.1612,3.5996,4.5203,3.7664,3.6269,4.4688,5.0965,4.2694,4.5416,4.6179,4.3474,4.2696,4.3744,4.361,3.1491,2.2782,1.3369,4.242,4.0756,3.811,2.0328,2.5217,1.5313,-0.7277,-1.3192,-0.3918,-1.0637,0.3532,
Q,Quarterly,HR,Croatia,R,Real,628,"Index, 2010 = 100",,,,Q:HR:R:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9543,67.8863,72.0811,72.0499,77.5778,79.7016,80.4101,85.632,86.2734,88.583,92.0957,96.8975,95.0263,98.5644,100.2747,103.9362,106.3363,106.9212,110.2183,117.1738,119.4849,122.4711,124.5621,121.0109,117.4896,115.8928,117.0475,114.4506,112.628,107.6494,106.5839,104.6231,102.0921,99.7014,99.1884,99.0345,96.8886,97.4758,98.8019,98.5584,97.7583,93.7106,93.0285,88.6776,88.329,87.1924,87.9607,86.9319,86.5742,86.8691,86.4571,85.6448,85.4293,82.9358,84.3871,84.5563,86.6134,85.4097,86.6991,85.4041,85.4316,88.1218,89.0473,90.7125,91.7378,90.3656,93.3955,93.7155,98.0612,98.9961,100.075,102.1941,105.5566,107.5188,107.1042,109.1748,109.9813,112.0988,113.24,113.6753,117.2538,114.9515,115.6313,117.733,119.5665,120.9647,119.5504,
Q,Quarterly,4T,Emerging market economies (aggregate),N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:4T:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8725,2.7991,1.3143,1.8795,4.5588,8.7268,10.3149,9.8352,8.8751,6.1369,6.1588,5.6315,5.736,7.2496,6.3503,6.4618,7.3207,6.9254,7.3706,8.3966,7.8625,7.8876,7.248,5.1195,3.8759,3.0588,2.3491,2.9703,3.1477,3.2054,4.4518,5.0443,6.034,5.9381,5.8233,5.233,4.5762,4.5687,4.3046,5.1702,5.6419,5.6213,5.3376,4.848,4.4486,4.6265,4.3939,4.1817,4.6506,4.9796,5.665,5.9897,6.6531,8.1396,8.5189,8.4863,6.9356,5.0114,4.1309,3.4726,
Q,Quarterly,SI,Slovenia,R,Real,628,"Index, 2010 = 100",,,,Q:SI:R:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.137,109.6276,112.1823,115.1662,115.582,112.3336,113.8827,111.234,104.7894,101.0682,99.7494,101.0666,101.665,100.0224,99.0568,99.2863,104.057,101.4359,99.8994,98.1933,94.342,93.3756,91.2981,87.2796,88.2269,87.7037,82.5803,82.5436,81.9629,78.6246,78.3409,78.9995,81.1308,81.9533,79.5114,79.4873,82.3838,82.5403,83.3332,84.4828,86.3389,88.0959,89.0816,91.6396,93.4178,93.1618,95.6131,97.3771,99.1932,98.4513,100.365,100.5263,102.3492,104.5569,103.7354,106.4747,110.3742,112.9715,114.6325,118.3411,121.8437,120.3181,119.308,120.0008,120.5968,119.3804,118.3616,
Q,Quarterly,PL,Poland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:PL:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6873,-3.6275,-4.4175,-5.1493,-6.147,-7.2062,-7.3741,-7.1983,-7.0863,-5.9146,-5.2189,-3.6832,-1.4337,1.35,1.3812,1.9932,3.2519,1.9511,2.8207,1.82,1.994,1.4626,2.9184,3.6977,1.2537,2.6897,1.7893,1.5288,4.2636,4.1873,4.25,6.0539,6.8011,5.7107,6.2195,6.6358,6.4308,7.4983,7.6531,5.9979,4.2458,3.7347,3.3337,3.8745,3.5145,-1.4084,-3.6476,-6.8844,-10.1443,-5.4766,-0.1254,
Q,Quarterly,HU,Hungary,R,Real,771,"Year-on-year changes, in per cent",,,,Q:HU:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9483,-1.8919,-4.9094,-5.7013,-3.7987,-8.5171,-11.4616,-12.4006,-10.4229,-7.4175,-4.9874,-4.5789,-7.0612,-7.1316,-7.4186,-6.726,-6.8696,-9.2882,-9.3533,-10.0146,-8.5269,-4.0071,-2.7147,-1.4356,0.9051,2.9964,4.6403,9.1884,10.3637,12.5062,15.5736,14.1335,16.4916,13.5031,11.6698,10.3976,8.9074,9.8042,9.5694,10.3061,11.194,10.5452,11.043,11.8146,15.3891,15.3456,13.1655,9.137,3.8219,0.0895,1.1032,1.3346,6.3219,11.1137,11.1282,14.6675,13.8025,12.8677,6.5599,-4.5223,-11.7455,-13.5154,-12.0181,
Q,Quarterly,BR,Brazil,R,Real,628,"Index, 2010 = 100",,,,Q:BR:R:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2925,51.6636,50.5636,49.6988,49.0629,48.6073,48.0808,46.6892,45.0941,45.3965,46.7491,47.8513,48.5747,49.2362,49.3871,49.6371,49.6386,49.7172,50.4352,50.8319,51.4557,52.7068,54.4305,56.014,57.5619,59.5324,61.7715,64.1668,66.4535,68.8233,71.5105,74.7328,78.0714,81.6833,85.9266,90.3365,93.9314,97.7444,102.5245,105.5822,107.8365,110.1759,113.2289,115.0544,116.4024,117.8143,119.3067,119.9238,120.0411,120.9585,122.7082,123.1759,123.0558,122.4608,122.6648,121.4491,117.7051,114.1392,111.5488,108.3145,104.3565,101.6998,99.6334,98.3245,96.8943,96.0084,95.4622,94.5679,93.8439,93.112,92.2121,92.1624,92.0896,91.8861,92.8665,93.6097,94.1516,96.5343,98.0365,97.9486,97.7354,97.5589,96.4069,94.2731,92.3841,89.8945,90.429,89.9322,88.5059,87.4994,87.5094,87.1154
Q,Quarterly,HU,Hungary,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:HU:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8947,4.7276,1.087,-1.6667,-0.8947,-5.2012,-7.0382,-7.8764,-5.015,-2.4845,-1.367,-0.4329,-3.1679,-3.397,-4.2643,-2.9348,-1.6357,-4.2857,-3.7862,-5.1512,-5.8759,-2.2963,-1.2732,-0.7084,0.9423,2.8203,4.5721,8.4423,9.2182,12.8,15.583,14.693,16.8716,13.4477,11.7336,11.8052,11.7492,12.0658,12.2239,12.8335,13.3794,13.5609,14.8678,15.4166,19.0476,19.6491,16.633,12.8693,8.303,2.5806,4.8499,4.1885,9.6811,16.8667,16.685,22.7805,23.1632,24.8533,24.1151,17.1896,10.6876,5.3683,1.4829,
Q,Quarterly,CA,Canada,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CA:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.174,3.5625,1.3624,2.4019,3.0171,2.1882,3.6947,3.1598,5.6066,9.7425,15.2461,19.2882,24.76,22.366,12.8916,2.2734,-2.12,-2.2398,1.491,6.2829,5.6852,4.4852,3.2264,3.5233,-0.4926,-2.3583,-3.4488,-4.9012,-6.0009,-3.3959,-3.5761,-1.4682,2.1237,0.9851,1.2351,0.341,-1.5789,0.2253,3.8958,5.3233,6.4665,2.9129,1.21,-3.1626,-9.7315,-14.294,-17.305,-15.9756,-4.7423,1.0814,2.2372,1.0802,-5.9261,-4.8503,-4.6647,-3.687,-1.5282,-0.1558,2.0968,5.0984,8.7577,12.0402,13.1498,15.7753,19.0389,11.2885,9.5286,8.4336,9.3599,13.2203,14.3423,17.0895,17.4858,4.6523,5.6924,3.4236,-7.8783,-5.2048,-6.4789,-11.515,-6.8712,3.5763,-2.4047,-0.399,-1.0235,-3.4728,2.7026,3.056,1.9326,1.4751,-0.9575,-1.9265,2.8869,2.588,3.0873,3.2482,-5.3318,-8.0307,-5.3234,-6.0351,-4.0407,0.5898,-1.7015,-1.8469,0.3871,1.2527,0.7678,0.7395,-1.3581,-2.9139,-3.0082,-1.7534,0.0039,2.1804,2.7534,2.6026,2.3021,0.5701,0.9739,0.2361,-0.2359,1.2536,2.6125,4.5483,8.9186,8.7493,6.5016,6.9388,3.9591,5.0332,8.9039,9.0134,9.424,9.4187,4.8368,5.4575,7.5302,5.6428,9.5227,7.3813,7.7303,10.0901,11.8602,11.4372,10.0969,9.0427,8.5676,7.8771,6.7289,2.2635,-3.0235,-5.8293,-9.5902,-7.0037,-0.7855,4.6213,10.5946,10.2527,4.8383,1.0341,0.4648,1.3785,4.2032,5.2345,4.9054,4.1902,2.2,0.8372,-0.2588,-0.0672,1.1433,3.0667,3.6333,3.0605,3.2338,3.5613,4.9231,6.3923,7.5699,8.4331,11.1387,14.3726,15.7688,14.499,15.3632,15.0815,13.1968,11.8824,5.2778,0.661,-0.7983,-0.2621,-1.01,-1.9146,-1.7138,-0.4445,2.4148,5.6472,6.6237,7.5167,7.2045,9.7893,9.8983,8.7934,18.6327,7.2101,-4.0411,-9.8407,-18.8814,-11.7102,-3.5862,
