United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1980,1,39.7,31.7,47.5,29.3,49.9,28.1,51.1,1,2.7,1.5,3.0,1.5,3.8,1.1,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.5,3.0,1.5,3.7,1.1,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,44.6,34.7,53.5,32.3,57.4,30.3,60.1
US,1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.1,1.4,2.5,1.1,2.8,1,1.4,1.0,1.4,0.7,1.7,0.7,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.4,2.8,3.5,2.1,4.2,1.8,4.9
US,1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,2.6,3.2,2.0,3.2,2.0,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.6,2.3,1.3,2.6,0.0,3.3,3,5.3,4.2,5.5,3.3,5.8,2.0,7.2
US,1983,1,9.3,6.6,10.7,6.0,12.0,5.4,12.6,3,10.7,9.4,13.2,8.8,14.1,8.2,14.7,1,6.3,5.0,7.6,5.0,7.9,4.7,7.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.2,6.5,9.2,5.9,9.5,5.5,9.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,35.5,27.5,40.7,25.7,43.5,23.8,45.1
US,1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,3.0,3.6,2.4,3.9,2.4,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,3.0,3.6,2.4,3.9,2.4,4.5
US,1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,2.5,4.5,2.3,4.8,2.3,5.4,1,3.5,2.9,3.8,2.6,4.1,2.3,4.4,1,1.7,1.4,1.7,1.1,2.0,1.1,2.3,3,10.4,6.9,10.3,6.3,11.1,5.7,11.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.6,2.6,2.3,2.9,2.3,2.9,7,22.0,16.3,22.9,14.6,24.9,13.7,26.6
US,1986,1,5.1,4.2,5.9,3.9,6.5,3.7,6.7,1,1.1,0.8,1.4,0.8,1.7,0.6,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.1,1.4,1.1,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.7,6.1,8.7,5.8,9.9,5.4,10.4
US,1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,1988,1,53.4,40.6,64.9,37.6,67.8,36.3,69.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53.4,40.6,64.9,37.6,67.8,36.3,69.4
US,1989,1,7.7,6.6,8.9,6.4,9.2,6.1,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.1,3.8,6.4,3.8,6.4,3.6,6.6,1,1.4,1.2,1.5,1.2,1.5,1.0,1.7,2,23.7,21.2,24.9,20.5,26.0,20.0,26.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.5,2.0,1.5,2.0,1.5,2.2,6,39.6,34.3,43.7,33.4,45.1,32.2,46.4
US,1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.2,2.9,2.2,3.1,1.9,3.1,1,8.2,6.3,10.2,6.1,10.4,5.8,10.6,1,1.9,1.9,2.4,1.9,2.6,1.7,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.4,2.3,1.9,2.6,2.1,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14.2,11.8,17.8,12.1,18.7,11.5,18.9
US,1991,1,6.9,6.9,8.9,6.6,9.4,6.4,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.6,1.1,1.8,1.1,1.8,1,3.4,2.9,4.1,2.7,4.1,2.5,4.3,1,7.4,5.8,8.5,5.6,9.0,5.2,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19.2,17.0,23.1,16.0,24.3,15.2,25.1
